Size,Algorithm,Type,ThreadCount,ArrayType,Sample,TimeMs,SpeedUp,Efficiency
1000,SelectionSort,Serial,1,Random,1,1.8042,0.0,0.0
1000,MergeSort,Serial,1,Random,1,0.5246,0.0,0.0
1000,BubbleSort,Serial,1,Random,1,4.707401,0.0,0.0
1000,InsertSort,Serial,1,Random,1,1.5593,0.0,0.0
1000,SelectionSort,Parallel,2,Random,1,10.425099,0.17306310472447314,0.08653155236223657
1000,MergeSort,Parallel,2,Random,1,2.2665,0.23145819545554816,0.11572909772777408
1000,BubbleSort,Parallel,2,Random,1,49.8991,0.0943383948808696,0.0471691974404348
1000,InsertSort,Parallel,2,Random,1,1.206,1.2929519071310116,0.6464759535655058
1000,SelectionSort,Parallel,4,Random,1,1.021001,1.7670893564257038,0.44177233910642594
1000,MergeSort,Parallel,4,Random,1,0.497,1.0555331991951709,0.2638832997987927
1000,BubbleSort,Parallel,4,Random,1,36.151,0.13021495947553316,0.03255373986888329
1000,InsertSort,Parallel,4,Random,1,1.0971,1.4212924984048856,0.3553231246012214
1000,SelectionSort,Parallel,8,Random,1,1.1697,1.5424467812259555,0.19280584765324443
1000,MergeSort,Parallel,8,Random,1,1.466899,0.357625167104211,0.044703145888026374
1000,BubbleSort,Parallel,8,Random,1,33.3733,0.14105290756383096,0.01763161344547887
1000,InsertSort,Parallel,8,Random,1,1.5611,0.9988469668823265,0.12485587086029082
1000,SelectionSort,Parallel,16,Random,1,2.998701,0.601660519004729,0.037603782437795566
1000,MergeSort,Parallel,16,Random,1,1.3761,0.38122229489135956,0.023826393430709972
1000,BubbleSort,Parallel,16,Random,1,37.3182,0.12614223086858423,0.007883889429286514
1000,InsertSort,Parallel,16,Random,1,1.3393,1.1642649145075785,0.07276655715672366
1000,SelectionSort,Serial,1,Random,2,1.3659,0.0,0.0
1000,MergeSort,Serial,1,Random,2,0.1055,0.0,0.0
1000,BubbleSort,Serial,1,Random,2,1.5521,0.0,0.0
1000,InsertSort,Serial,1,Random,2,4.202801,0.0,0.0
1000,SelectionSort,Parallel,2,Random,2,0.8724,1.5656808803301236,0.7828404401650618
